phylum,isolate,response,sample,relabundance,rgrowth,BR,BP,CUE,biomass,measurement
Proteobacteria,Bradyrhizobium sp. URHA0002,positive,week0,0.10877084270661026,0.8674989806113297,2.088730821255198e-7,-2.37378363582269e-7,-Inf,8.883106725566084e-6,0.10877084270661026
Proteobacteria,Bradyrhizobium sp. URHA0013,positive,week0,0.10992490998153187,0.8674989806113297,2.05331486125967e-6,-2.0918950972010633e-6,-Inf,8.977357193030642e-6,0.10992490998153188
Firmicutes,Paenibacillus sp. URHA0014,negative,week0,0.001154067274921629,0.8674989806113297,8.719197570558154e-9,-9.023579279096787e-9,-Inf,9.425046746455911e-8,0.0011540672749216292
Proteobacteria,Lysobacter sp. URHA0019,undefined,week0,0.0005770336718347089,0.8674989806113297,1.2109805230858367e-9,-1.3388010304176892e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Actinobacteria,Nocardioides sp. URHA0020,undefined,week0,0.001731100946756338,0.8674989806113297,3.782596267247472e-9,-4.1753254085129645e-9,-Inf,1.4137570400408889e-7,0.0017311009467563382
Proteobacteria,Comamonadaceae bacterium URHA0028,positive,week0,0.013271773902215993,0.8674989806113297,3.0387060712661816e-8,-3.340644511289558e-8,-Inf,1.0838803954931812e-6,0.013271773902215997
Actinobacteria,Geodermatophilaceae bacterium URHA0031,negative,week0,0.027120581476266697,0.8674989806113297,2.5487930570424245e-7,-2.6210172875659176e-7,-Inf,2.2148860275258923e-6,0.0271205814762667
Actinobacteria,Nocardioides sp. URHA0032,undefined,week0,0.001731100946756338,0.8674989806113297,5.572240845160094e-9,-6.127288156314254e-9,-Inf,1.4137570400408889e-7,0.0017311009467563382
Proteobacteria,Caulobacter sp. URHA0033,positive,week0,0.001731100946756338,0.8674989806113297,1.3711303923146739e-8,-1.424447658323176e-8,-Inf,1.4137570400408889e-7,0.0017311009467563382
Actinobacteria,Microbacterium sp. URHA0036,undefined,week0,0.0014425841452128778,0.8674989806113297,6.7140607714187725e-9,-7.108811112067273e-9,-Inf,1.178130885415742e-7,0.001442584145212878
Actinobacteria,Streptomyces sp. URHA0041,positive,week0,0.010386605680538029,0.8674989806113297,3.451706971294625e-8,-3.6861114506854144e-8,-Inf,8.482542240245333e-7,0.010386605680538029
Proteobacteria,Burkholderia sp. URHA0054,positive,week0,0.009809572008703318,0.8674989806113297,2.059264746421601e-8,-2.2841863705279078e-8,-Inf,8.011289874850035e-7,0.00980957200870332
Proteobacteria,Mesorhizobium sp. URHA0056,positive,week0,0.002885168221677967,0.8674989806113297,2.003403081594572e-8,-2.0914831770881848e-8,-Inf,2.3562617146864798e-7,0.0028851682216779672
Firmicutes,Staphylococcus sp. URHA0057,undefined,week0,6.874778883135328e-7,0.8674989806113297,5.7148607840075835e-12,-5.909520700994e-12,-Inf,5.614500450114449e-11,6.874778883135329e-7
Proteobacteria,Mesorhizobium sp. URHB0007,positive,week0,0.004039235565347385,0.8674989806113297,2.4318627693885864e-8,-2.5336570934804684e-8,-Inf,3.2987664454770753e-7,0.004039235565347386
Firmicutes,Bacillus sp. URHB0009,negative,week0,0.1151182128218009,0.8674989806113297,1.0409623494107082e-6,-1.074088114318092e-6,-Inf,9.40148430504291e-6,0.1151182128218009
Actinobacteria,Intrasporangiaceae bacterium URHB0013,undefined,week0,0.002885168221677967,0.8674989806113297,1.9312643057506745e-8,-2.016893986455345e-8,-Inf,2.3562617146864798e-7,0.0028851682216779672
Proteobacteria,Pseudomonas sp. URHB0015,positive,week0,0.0005770336718347089,0.8674989806113297,2.1410477846992323e-9,-2.2739736381643318e-9,-Inf,4.7125236539529775e-8,0.000577033671834709
Proteobacteria,Variovorax sp. URHB0020,positive,week0,0.026543547804431987,0.8674989806113297,7.32500087960291e-8,-7.989714222274174e-8,-Inf,2.1677607909863623e-6,0.026543547804431994
Actinobacteria,Marmoricola sp. URHB0036,undefined,week0,0.002308134618591047,0.8674989806113297,7.567609544815987e-9,-8.117671689472019e-9,-Inf,1.8850094054361867e-7,0.002308134618591047
